Empresa,Relato_Lematizao_SW
Banco Santander,"['santander', 's.a', 'paguei', 'programa', 'desenrolar', 'brasilnegociaçao', 'numero', 'tambem', 'acordo', 'anteriormente', 'instituição', 'pagamento', 'parcela', 'nao', 'baixo', 'continuar', 'aparecer', 'devedor', 'tentar', 'contato', 'banco', 'informar', 'nao', 'divir', 'poder', 'algum', 'empresa', 'cobrança', 'nao', 'fazer', 'baixo', 'porém', 'ainda', 'parecer', 'rejustro', 'devo', 'bco', 'santander', '.', 'divir', 'poder', 'cartão', 'credito', 'loja', 'saber', 'banco', 'correspondente', 'rennerr', 'ca', 'pernanbucana', 'vest', 'casa', 'lojo', 'marisa', 'riachuelo', 'dividas', 'estao', 'quitar', 'programa', 'desenrolar', 'Brasil', 'porém', 'nao', 'baixar', 'instituição', 'continuar', 'ligar', 'cobrar', 'insistentemente', 'prejudicar', 'financeiramente', 'entrevista', 'emprego']"
Nubank,"['gostar', 'registrar', 'reclamação', 'relação', 'juro', 'aplicar', 'nubank', 'evolução', 'dívida', 'cartão', 'crédito', 'considerar', 'abusivo', 'desproporcional', '.', 'valor', 'dívida', 'r', '.', 'pouco', 'mês', 'considerar', 'parcela', 'desconto', 'oferecer', 'empresa', 'valor', 'atualizar', 'dívida', 'atingir', 'r', '.', 'juro', 'aplicar', 'caso', 'excessivamente', 'alto', 'comprometer', 'capacidade', 'financeiro', 'tornar', 'praticamente', 'inviável', 'quitação', 'dívida', '.', 'solicitar', 'revisão', 'renegociação', 'dívida', 'taxa', 'juro', 'justo', 'condizente', 'situação', 'financeiro', '.', 'solicitação', 'revisão', 'valor', 'cobrar', '.', 'renegociação', 'dívida', 'condição', 'acessível', '.', 'redução', 'juro', 'aplicar', '.', 'aguardo', 'retorno', 'empresa', 'possar', 'resolver', 'questão', 'maneira', 'justo', 'amigável', '.']"
Banco Santander,"['parcelamento', 'pagamento', 'divida', 'ainda', 'ficar', 'aparecer', 'paguei', 'mês']"
Banco Inter (Banco Intermedium),"['Banco', 'inter', 'desconto', 'autorização', 'seguro', 'premio', 'alegar', 'pedir', 'antecipação', 'Fgts', 'porém', 'fazer', 'outro', 'antecipação', 'nunca', 'vir', 'descontar', 'ver', 'nenhum', 'contrato', 'aviso', 'contratação', 'seguro', '.', 'partir', 'maio', 'começar', 'descontar', 'vez', 'mês', 'agora', 'novembro', 'valor', 'total', 'cancelar', 'serviço', 'porém', 'negar', 'devolver', '.', 'sinceramente', 'saber', 'tratar', 'seguro', 'informar', 'preciso', 'ajude', 'devolver', 'valor', '.', 'banco', 'inter', '.']"
Nubank,"['gostar', 'fizer', 'negociação', 'desconto', 'igual', 'fazer', 'cartão', 'credito', 'desconto', 'fazer', 'quitaçação', 'ambos', 'contrato', 'emprestimo', 'cartão', 'credito', 'ver', 'desconto', 'hoje', 'ficar', 'ruim', 'negociar', 'ficar', 'valor', 'nao', 'achar', 'justo', 'comparar', 'cartão', 'deixo', 'claro', 'querer', 'negociar', 'chegar', 'valor', 'justo', '.']"
Mercado Pago,"['bom', '.', 'contar', 'banco', 'insatisfeito', 'cobrança', 'antecipar', 'antes', 'vencimento', '.', 'ficar', 'alegar', 'pendência', 'pendência', 'ainda', 'faltar', 'corrir', 'vencer', 'nunca', 'deixeir', 'honrar', 'pagamento', 'cartão', 'crédito', 'empréstimo', 'restritamente', '.']"
Nubank,"['contratar', 'crédito', 'pessoal', 'valor', 'r', 'porém', 'valor', 'total', 'pagar', 'juro', 'r', '.', 'dez', 'mil', 'real', 'juro', 'sobre', 'valor', '.']"
Nubank,"['preciso', 'descritivo', 'evolução', 'dívida']"
Banco do Brasil,"['empresa', 'entrar', 'acordo', 'comigo', 'querer', 'paguir', 'juro', 'abusivo', 'forma', 'abusivo', 'contra', 'nome']"
Banco do Brasil,"['lei', 'nº', 'setembro']"
